counter, keyextract, sign, verify, total 
122,1.884700,2.461900,4.196500,8.543100 
123,1.854500,2.473100,4.274300,8.601900 
124,1.825200,2.547700,4.275400,8.648300 
125,2.420600,2.529100,4.326400,9.276100 
126,1.856800,2.509900,4.214600,8.581300 
127,1.940500,2.498200,4.393000,8.831700 
128,1.904800,2.445600,4.191400,8.541800 
129,1.864000,2.466700,4.329700,8.660400 
130,1.813800,2.477900,4.267100,8.558800 
131,2.474900,2.530900,4.241900,9.247700 
132,1.805300,2.482800,4.490700,8.778800 
133,1.854000,2.463100,4.132600,8.449700 
134,1.834000,2.423400,4.209000,8.466400 
135,1.795900,2.439500,4.161900,8.397300 
136,1.877600,2.470000,4.184500,8.532100 
137,2.242600,2.428500,4.163300,8.834400 
138,1.820200,2.433700,4.154800,8.408700 
139,2.071400,2.463200,4.270900,8.805500 
140,1.939200,2.496900,4.418100,8.854200 
141,2.019400,2.445200,4.203400,8.668000 
142,1.845200,2.550300,4.597900,8.993400 
143,2.326400,2.458100,4.190100,8.974600 
144,1.898400,2.520200,4.385700,8.804300 
145,1.839200,2.490200,4.265700,8.595100 
146,1.909200,2.513400,4.306900,8.729500 
147,1.864200,2.751700,5.265800,9.881700 
148,1.991700,2.715200,5.352400,10.059300 
149,2.605100,2.515200,4.166600,9.286900 
150,1.930200,2.505200,4.315500,8.750900 
151,1.812200,2.465300,4.239000,8.516500 
152,1.917600,2.478600,4.218400,8.614600 
153,1.794000,2.442800,4.191400,8.428200 
154,1.828400,2.458100,4.183100,8.469600 
155,2.359700,2.405800,4.145100,8.910600 
156,1.781400,2.398100,4.100200,8.279700 
157,1.789200,2.410900,4.151000,8.351100 
158,1.803800,2.457200,4.259000,8.520000 
159,1.813200,2.399200,4.189100,8.401500 
160,1.855500,2.455000,4.229900,8.540400 
161,2.337400,2.483100,4.224000,9.044500 
162,1.906700,2.470800,4.126400,8.503900 
163,1.826800,2.502400,4.337400,8.666600 
164,1.870900,2.435300,4.200000,8.506200 
165,1.821400,2.493900,4.352400,8.667700 
166,1.833800,2.492900,4.379500,8.706200 
167,2.360800,2.510100,4.328900,9.199800 
168,1.831700,2.607200,4.343400,8.782300 
169,1.831500,2.502800,4.430400,8.764700 
170,2.030900,2.491000,4.187000,8.708900 
171,1.784900,2.550700,4.437100,8.772700 
172,1.920800,2.426200,4.149400,8.496400 
173,2.379700,2.479800,4.146500,9.006000 
174,1.839200,2.432300,4.328500,8.600000 
175,2.058600,2.487200,4.421900,8.967700 
176,1.849200,2.518400,4.260600,8.628200 
177,1.754300,2.397000,4.032400,8.183700 
178,1.824800,2.659600,4.144700,8.629100 
179,2.260500,2.374500,6.231200,10.866200 
180,1.674400,2.515200,4.724700,8.914300 
181,1.679400,2.460600,4.167300,8.307300 
182,1.831100,2.548400,4.443700,8.823200 
183,1.792900,2.527300,4.269000,8.589200 
184,1.826900,2.500800,4.383800,8.711500 
185,1.833000,2.452400,4.633600,8.919000 
186,1.971300,2.454500,4.257800,8.683600 
187,1.845400,2.419400,4.512400,8.777200 
188,1.905500,2.485800,4.401500,8.792800 
189,1.919000,2.619400,4.374000,8.912400 
190,1.925500,2.470100,4.245000,8.640600 
191,1.996100,2.457700,4.711800,9.165600 
192,1.874900,3.723100,5.342400,10.940400 
193,1.818400,2.509900,4.277500,8.605800 
194,1.873500,2.606600,4.196000,8.676100 
195,1.866700,2.719900,4.984100,9.570700 
196,2.074500,2.678500,4.532200,9.285200 
197,1.840500,2.410900,4.755500,9.006900 
198,1.798800,2.635500,4.490300,8.924600 
199,2.060600,2.408200,4.079000,8.547800 
200,1.747300,2.489400,4.857500,9.094200 
201,1.935900,2.418400,4.251200,8.605500 
202,1.982100,2.462400,4.528000,8.972500 
203,1.846200,2.663500,5.258100,9.767800 
204,2.040000,2.452000,4.288100,8.780100 
205,1.934100,2.570200,4.464900,8.969200 
206,1.915400,2.520500,4.292500,8.728400 
207,1.861300,2.504300,5.352100,9.717700 
208,2.041400,2.443200,4.294200,8.778800 
209,1.843400,2.496200,5.166200,9.505800 
210,1.925200,2.425500,4.214400,8.565100 
211,1.965100,2.502500,4.452700,8.920300 
212,1.884100,2.456500,4.344100,8.684700 
213,1.864600,2.477300,4.201900,8.543800 
214,1.837900,2.485100,4.222500,8.545500 
215,1.950800,2.541500,4.868000,9.360300 
216,1.876900,2.506100,4.383800,8.766800 
217,1.782500,2.533100,4.299100,8.614700 
218,1.880200,2.662500,4.132200,8.674900 
219,1.968600,2.357500,4.222200,8.548300 
220,2.135900,2.372000,4.242600,8.750500 
221,1.776900,2.499600,5.346900,9.623400 
222,1.821600,2.458300,4.175200,8.455100 
223,1.820500,2.530500,4.416900,8.767900 
224,1.824300,2.443600,4.186000,8.453900 
225,1.920600,2.547300,4.333900,8.801800 
226,1.872600,2.450800,4.225100,8.548500 
227,2.232700,2.431000,4.826200,9.489900 
228,1.823700,2.440500,4.618900,8.883100 
229,2.036700,2.468200,4.252100,8.757000 
230,1.811400,2.534300,4.512400,8.858100 
231,1.888100,2.480200,4.302800,8.671100 
232,1.956100,2.539900,4.291200,8.787200 
233,1.871400,2.448300,4.733100,9.052800 
234,1.836900,2.460700,4.184800,8.482400 
235,1.906200,2.519600,4.540700,8.966500 
236,1.964600,2.588600,4.572500,9.125700 
237,2.054500,2.636000,4.382200,9.072700 
238,2.225400,2.537500,4.470200,9.233100 
239,2.004700,2.696500,4.959900,9.661100 
240,1.979200,2.454200,4.092300,8.525700 
241,1.964700,2.508500,4.491200,8.964400 
242,1.863400,2.504200,4.386800,8.754400 
243,1.836200,2.546800,4.346400,8.729400 
244,1.865400,2.518900,4.231700,8.616000 
245,1.902400,2.539200,4.998800,9.440400 
246,4.661800,2.469300,4.395100,11.526200 
247,1.873400,2.481100,4.283500,8.638000 
248,2.385600,4.077400,8.720500,15.183500 
249,2.089700,2.517500,4.316000,8.923200 
250,1.848100,2.483400,4.291600,8.623100 
251,1.856500,2.647500,4.689100,9.193100 
252,2.244400,2.490500,4.245100,8.980000 
253,1.845600,2.515800,4.391900,8.753300 
254,1.842800,2.587200,4.924400,9.354400 
255,1.957300,2.431100,4.177400,8.565800 
256,2.089000,2.681300,4.325000,9.095300 
257,1.816500,2.383300,4.612100,8.811900 
258,2.412600,2.496000,4.245800,9.154400 
259,1.868000,2.725600,4.180000,8.773600 
260,1.894600,2.434600,4.218000,8.547200 
261,2.320800,2.989900,4.366100,9.676800 
262,1.877400,2.433600,4.421300,8.732300 
263,1.880200,2.523100,4.260100,8.663400 
264,2.439000,2.521900,4.310300,9.271200 
265,1.900200,2.465800,4.337900,8.703900 
266,2.064900,2.483500,4.318900,8.867300 
267,1.882900,2.486600,4.289300,8.658800 
268,1.952500,2.549400,4.416400,8.918300 
269,2.004500,2.534200,4.280300,8.819000 
270,2.388200,2.494800,4.463600,9.346600 
271,1.863600,2.653700,4.815900,9.333200 
272,1.971900,2.536500,4.449700,8.958100 
273,1.833100,2.461200,4.337600,8.631900 
274,1.836200,2.618900,4.414800,8.869900 
275,2.251300,2.572200,4.180100,9.003600 
276,2.458400,2.463100,4.453200,9.374700 
277,1.764300,2.503500,4.186300,8.454100 
278,2.131900,3.046000,4.191000,9.368900 
279,1.877900,2.678100,4.085300,8.641300 
280,1.934600,2.421300,4.250400,8.606300 
281,1.954500,2.485600,4.395900,8.836000 
282,2.276300,2.910000,4.784400,9.970700 
283,1.829000,2.486300,4.177200,8.492500 
284,1.825700,2.492600,4.318700,8.637000 
285,1.832600,2.455700,4.144800,8.433100 
286,2.020000,2.541700,4.225500,8.787200 
287,1.858600,2.479100,4.170200,8.507900 
288,2.844600,2.452600,4.178400,9.475600 
289,1.870800,2.791800,4.493000,9.155600 
290,1.977500,2.469600,4.215900,8.663000 
291,1.934800,2.484700,4.317100,8.736600 
292,1.903300,2.497100,4.349900,8.750300 
293,1.912700,2.460600,4.245000,8.618300 
294,2.413100,2.794400,5.125700,10.333200 
295,1.897400,2.582600,4.315600,8.795600 
296,2.034900,2.472400,4.217300,8.724600 
297,1.859100,2.420300,4.623100,8.902500 
298,2.135800,2.609200,4.303600,9.048600 
299,1.885200,2.598400,4.171100,8.654700 
300,2.434400,2.510800,4.380800,9.326000 
301,2.170000,2.679100,4.405000,9.254100 
302,1.849100,2.826900,4.794500,9.470500 
303,1.889900,2.462700,4.192600,8.545200 
304,1.877300,2.551900,4.381300,8.810500 
305,1.878400,2.444400,4.337100,8.659900 
306,2.587000,2.496000,4.175800,9.258800 
307,1.860500,2.690500,4.405300,8.956300 
308,1.984400,2.433600,4.248400,8.666400 
309,1.885300,2.407800,4.217000,8.510100 
310,1.928600,2.520000,4.364600,8.813200 
311,1.856000,2.453300,4.372500,8.681800 
312,2.615400,2.495800,4.200100,9.311300 
313,1.855200,2.513200,4.336300,8.704700 
314,1.891300,2.470900,4.225900,8.588100 
315,1.854300,2.611100,4.285400,8.750800 
316,1.828100,2.455300,4.109200,8.392600 
317,2.115800,2.742700,4.436600,9.295100 
318,2.486200,2.423900,4.370400,9.280500 
319,1.897800,2.700000,4.363400,8.961200 
320,1.980900,2.685000,4.244000,8.909900 
321,1.899400,2.546000,4.383900,8.829300 
322,1.885700,2.567800,5.070500,9.524000 
323,2.217700,2.475000,4.159600,8.852300 
324,2.327900,2.506200,4.423500,9.257600 
325,1.847300,2.468900,4.173800,8.490000 
