counter, keyextract, sign, verify, total 
122,12.690100,13.876500,21.838700,48.405300 
123,12.303200,14.697600,29.664500,56.665300 
124,19.274900,14.520700,29.537500,63.333100 
125,14.833200,13.699800,23.767200,52.300200 
126,12.679500,18.344300,29.681400,60.705200 
127,14.096400,14.759000,23.689800,52.545200 
128,12.949500,14.372700,26.351700,53.673900 
129,13.216700,14.274200,22.338700,49.829600 
130,12.352500,13.630600,21.990300,47.973400 
131,12.527300,13.788900,22.040700,48.356900 
132,12.397700,13.917800,21.927500,48.243000 
133,12.109300,13.619100,21.772400,47.500800 
134,12.360000,13.916700,21.911900,48.188600 
135,12.208700,13.896900,21.738300,47.843900 
136,12.343700,14.209500,22.981000,49.534200 
137,13.611100,14.366900,22.400100,50.378100 
138,12.439800,14.152200,21.828300,48.420300 
139,12.181200,14.022500,22.924000,49.127700 
140,13.228200,13.704400,21.749200,48.681800 
141,12.061700,13.539600,21.746300,47.347600 
142,12.262100,13.748500,21.793300,47.803900 
143,12.343000,13.987900,21.904500,48.235400 
144,12.416500,13.991200,23.124500,49.532200 
145,14.264100,13.795000,22.876700,50.935800 
146,12.220500,13.773900,21.989200,47.983600 
147,12.532400,13.802800,23.197600,49.532800 
148,12.340200,13.689000,22.215900,48.245100 
149,12.252600,13.673600,21.559500,47.485700 
150,12.749900,13.924600,21.947700,48.622200 
151,12.412700,13.814300,23.029200,49.256200 
152,12.739400,13.673300,21.628800,48.041500 
153,12.079400,13.639800,21.716400,47.435600 
154,12.222500,13.700200,21.890700,47.813400 
155,12.272100,13.616400,21.821700,47.710200 
156,12.363800,14.337100,22.213200,48.914100 
157,13.264700,13.539400,21.677100,48.481200 
158,12.259400,13.703700,21.822000,47.785100 
159,12.324800,13.940100,22.020000,48.284900 
160,12.401000,13.717800,21.737400,47.856200 
161,12.248400,14.236800,21.806500,48.291700 
162,12.204600,14.011200,21.991900,48.207700 
163,12.330700,13.972800,21.863400,48.166900 
164,12.441800,13.651400,22.443600,48.536800 
165,12.923300,13.626300,21.774300,48.323900 
166,12.330700,13.830400,21.936800,48.097900 
167,12.328700,13.677500,21.849100,47.855300 
168,13.197900,14.148100,22.916200,50.262200 
169,12.681700,14.701600,22.609200,49.992500 
170,12.583800,13.768600,21.669300,48.021700 
171,12.259300,15.016900,23.005600,50.281800 
172,12.362500,14.517900,22.730900,49.611300 
173,13.357900,14.155900,21.654300,49.168100 
174,12.127800,13.673300,21.947600,47.748700 
175,12.503000,13.757400,22.634700,48.895100 
176,12.188000,13.729600,25.670700,51.588300 
177,13.768900,13.760800,21.806800,49.336500 
178,12.060200,13.900500,21.841100,47.801800 
179,12.435700,13.808600,22.747700,48.992000 
180,12.441700,15.326600,23.052800,50.821100 
181,13.242200,13.788200,22.006000,49.036400 
182,12.225700,13.874100,22.380200,48.480000 
183,12.386200,13.840800,22.448300,48.675300 
184,12.334900,13.766000,23.740900,49.841800 
185,12.859300,15.249500,23.671800,51.780600 
186,14.223200,13.694500,21.929500,49.847200 
187,12.159200,13.945800,21.955600,48.060600 
188,12.586600,14.020200,21.901700,48.508500 
189,12.894800,13.908900,21.722000,48.525700 
190,12.434300,13.841800,22.096400,48.372500 
191,12.195700,14.570300,23.375400,50.141400 
192,12.349500,13.666500,23.426500,49.442500 
193,13.094300,14.678000,23.532400,51.304700 
194,13.429900,13.739700,22.359000,49.528600 
195,13.128400,13.653900,22.217700,49.000000 
196,12.296700,14.000600,21.778400,48.075700 
197,12.172600,13.755800,21.552300,47.480700 
198,12.532000,14.098000,22.019000,48.649000 
199,12.306300,13.890600,21.983500,48.180400 
200,12.394900,13.651800,23.922900,49.969600 
201,12.535400,14.418000,23.503100,50.456500 
202,12.687200,13.880400,22.350100,48.917700 
203,12.342400,13.687700,22.189800,48.219900 
204,12.354200,14.893300,22.277500,49.525000 
205,13.359000,14.385100,21.865900,49.610000 
206,12.764200,14.304200,21.760600,48.829000 
207,12.523900,14.040200,21.989800,48.553900 
208,12.438800,13.944600,22.414600,48.798000 
209,12.821300,14.355500,23.512100,50.688900 
210,12.336500,13.708900,22.021600,48.067000 
211,12.328000,13.834100,22.985600,49.147700 
212,12.290000,14.358000,22.451400,49.099400 
213,12.264600,13.728700,21.706500,47.699800 
214,12.292600,14.059300,21.981400,48.333300 
215,12.310500,13.902900,21.921000,48.134400 
216,12.145300,13.874500,22.832400,48.852200 
217,12.477500,13.994700,22.883400,49.355600 
218,12.934100,13.810600,21.875500,48.620200 
219,13.299400,13.719000,22.012000,49.030400 
220,12.489900,13.949600,21.602000,48.041500 
221,12.314600,13.771500,21.658100,47.744200 
222,12.178400,13.558500,21.779300,47.516200 
223,12.349900,13.730800,21.853400,47.934100 
224,12.264800,13.539200,22.386700,48.190700 
225,12.600000,14.257000,22.481600,49.338600 
226,13.107800,13.758800,21.934300,48.800900 
227,13.018100,13.911800,22.033200,48.963100 
228,12.762000,13.639700,21.728800,48.130500 
229,12.290900,13.666700,21.684800,47.642400 
230,12.227800,13.991400,21.936000,48.155200 
231,12.497700,13.942600,22.289700,48.730000 
232,12.234000,13.597500,21.700300,47.531800 
233,12.335700,13.782700,21.821800,47.940200 
