counter, keyextract, sign, verify, total 
122,7.623000,12.253900,6.284700,26.161600 
123,7.689100,11.584900,6.449900,25.723900 
124,7.621400,11.784900,6.479700,25.886000 
125,10.581800,13.522200,6.903800,31.007800 
126,7.559700,11.790700,6.231000,25.581400 
127,7.480600,11.523200,6.256500,25.260300 
128,7.640600,11.856500,6.355400,25.852500 
129,7.702700,11.744800,6.311900,25.759400 
130,7.655400,11.543000,6.611300,25.809700 
131,8.353500,11.430200,6.482800,26.266500 
132,7.731300,11.661200,6.690600,26.083100 
133,7.704300,11.462100,6.828200,25.994600 
134,7.648000,11.662400,6.268800,25.579200 
135,8.031400,11.679600,6.175400,25.886400 
136,7.525100,11.563100,6.204100,25.292300 
137,7.629700,11.408100,7.031800,26.069600 
138,7.574900,11.677300,6.424100,25.676300 
139,7.759300,12.169600,6.504800,26.433700 
140,7.725900,11.617700,6.247100,25.590700 
141,7.671400,11.390200,6.554300,25.615900 
142,7.680200,11.692900,6.378000,25.751100 
143,7.606200,11.784500,6.724700,26.115400 
144,7.632000,11.901400,6.309800,25.843200 
145,7.604800,11.678100,6.369100,25.652000 
146,7.553000,11.705800,6.247600,25.506400 
147,7.713900,11.400100,6.487400,25.601400 
148,11.122400,11.845900,6.353300,29.321600 
149,7.704300,11.359800,6.730400,25.794500 
150,7.585600,11.796400,6.768100,26.150100 
151,8.303700,12.701900,6.502000,27.507600 
152,7.593700,11.691000,6.487600,25.772300 
153,7.766300,11.569000,6.677000,26.012300 
154,7.584400,11.684900,6.346900,25.616200 
155,8.111500,11.648200,6.495800,26.255500 
156,7.642500,11.646100,6.508800,25.797400 
157,7.634800,11.712200,6.775600,26.122600 
158,7.578900,11.865200,6.486600,25.930700 
159,7.986500,11.471400,6.209900,25.667800 
160,7.590000,11.463700,6.108900,25.162600 
161,7.534000,11.672400,6.293600,25.500000 
162,7.869000,11.775100,6.419100,26.063200 
163,7.698000,11.620900,6.335800,25.654700 
164,7.599300,11.627300,6.308300,25.534900 
165,7.627300,12.056200,6.625700,26.309200 
166,7.698500,11.692300,6.354100,25.744900 
167,7.739700,11.589400,6.772800,26.101900 
168,7.937900,11.654700,6.331500,25.924100 
169,8.118500,11.522400,6.282900,25.923800 
170,7.637600,11.629900,6.092000,25.359500 
171,7.639200,11.423900,6.667100,25.730200 
172,7.768100,11.857700,6.461200,26.087000 
173,7.597200,11.923100,7.159600,26.679900 
174,7.647300,11.487300,6.157800,25.292400 
175,7.493300,11.402000,6.270400,25.165700 
176,8.690200,11.665400,6.499600,26.855200 
177,7.580300,11.665200,6.412400,25.657900 
178,7.620000,12.070100,6.253900,25.944000 
179,7.555700,11.699300,6.602900,25.857900 
180,8.109700,11.713700,6.166700,25.990100 
181,7.638200,11.395400,6.952000,25.985600 
182,7.869000,11.926900,6.612500,26.408400 
183,7.561100,11.431700,6.296400,25.289200 
184,7.706200,12.192400,6.299200,26.197800 
185,7.616200,11.406700,6.193500,25.216400 
186,7.601500,11.846200,6.651500,26.099200 
187,7.482000,11.454800,6.536100,25.472900 
188,8.940400,11.824900,6.366700,27.132000 
